Manage Panels,Manage Panels
PWS Panel,PWS Panel
Save Panel,Save Panel
Save and Continue Edit,Save and Continue Edit
Delete Panel,Delete Panel
New Panel,New Panel
Panel Information,Panel Information
Panel Name,Panel Name
Search,Search
Panel Group,Panel Group
Image,Image
Thumbnail,Thumbnail
Description,Description
Status,Status
Page Status,Page Status
Meta Data,Meta Data
ID,ID
Name,Name
Type,Type
WYSIWYG Editor,WYSIWYG Editor
Title,Title
Home,Home
Find Product,Find Product
Go to Home Page,Go to Home Page
The Panel has been deleted.,The Panel has been deleted.
We can't find a Panel to delete.,We can't find a Panel to delete.
Panel,Panel
This Panel no longer exits. ,This Panel no longer exits. 
Edit Panel,Edit Panel
Page,Page
Panels,Panels
Please correct the data sent.,Please correct the data sent.
Something went wrong while saving the page.,Something went wrong while saving the page.
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.
A total of %1 record(s) have been disabled.,A total of %1 record(s) have been disabled.
A total of %1 record(s) have been enabled.,A total of %1 record(s) have been enabled.
You saved this Panel.,You saved this Panel.
Something went wrong while saving the Panel.,Something went wrong while saving the Panel.
Panel Groups,Panel Groups
URL key already exists.,URL key already exists.
You saved this group.,You saved this group.
Enabled,Enabled
Disabled,Disabled
List,List
Grid,Grid
Get Panels,Get Panels
No,No
Yes,Yes
Delete,Delete
Delete items,Delete items
Are you sure you wan't to delete selected items?,Are you sure you wan't to delete selected items?
Disable,Disable
Enable,Enable
